[2026-05-30 22:57:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-29
正在获取论文...
[ACM] 2026-5-30 | Augmenting Information Access in Cultural Virtual Tours through Automatic Artifact Segmentation
[ACM] 2026-5-30 | Virtual augmentation of a simulated scenario for first aid operators training
[ACM] 2026-5-30 | A Conceptual Framework to Foster Sustainability with Gamified Digital Twins
[ACM] 2026-5-30 | Success Criteria for Evaluating Symbiotic AI Systems
[ACM] 2026-5-30 | On Promoting Agency in People with Intellectual Disabilities in Co-Design
[ACM] 2026-5-30 | The Industrialization of Messaging Scams in the LLM Era
[ACM] 2026-5-29 | Unsupervised Profiling of L2 Reading from Eye Tracking Data in the MECO-L2 Dataset.
[ACM] 2026-5-29 | Spontaneous Blink Features Extracted from Video for Multi-Class Classification of Parkinson’s Disease
[ACM] 2026-5-29 | Proceedings of the 24th Annual International Conference on Mobile Systems, Applications and Services
[ACM] 2026-5-29 | TIPS: Thermal Image based Plastics Sorting
[ACM] 2026-5-29 | KVSwap: Disk-aware KV Cache Offloading for Long-Context On-device Inference
[ACM] 2026-5-29 | RELL-STC: An Efficient SpMM Extension of Sparse Tensor Core with Re-structured ELLPACK and Gustavson Dataflow
[ACM] 2026-5-29 | EviDex: Provenance-Weighted Evidence-Path Indexing for Fresh and Auditable Retrieval under Continuous Updates
[IEEE] 2026-5-29 | A Compact Metallic Cavity-Backed Slot Antenna Subarray for Space-Based ADS-B Reception
[IEEE] 2026-5-29 | An Open Testbed for the TV 3.0 Application Coding Layer
[IEEE] 2026-5-29 | Magnetic properties of the iron-based SMCs with Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    insulation
[IEEE] 2026-5-29 | Task-tailored Pre-processing: Fair Downstream Supervised Learning_supp1-3697632.pdf
[IEEE] 2026-5-29 | Robotic Steerable Sheath for Left Atrial Appendage Occlusion_supp1-3689692.pdf
[IEEE] 2026-5-29 | CoDE-GAN: Consistency Diffusion Evolutionary Algorithm Based Neural Architecture Search for Generative Adversarial Networks
[IEEE] 2026-5-29 | Visualizing definitional divergence in high-dimensional data by manifold alignment: Application to 3D right ventricular strain computations
[IEEE] 2026-5-29 | Analysis of Land Subsidence Characteristics According to Reclamation and Construction Periods Using Sentinel-1 Time-Series Interferometry: A Case Study on The West Coast of South Korea
[IEEE] 2026-5-29 | Toward Reliable and Secure Cloud Services With Fault-Tolerant Searchable Encryption
[IEEE] 2026-5-29 | A Learning With Errors based Encryption Scheme for Dynamic Controllers that Discloses Residue Signal for Anomaly Detection
[IEEE] 2026-5-29 | H-SMART: Hierarchical Self-Correcting Multi-Agent Reasoning for Robust Text Rendering
[IEEE] 2026-5-29 | M
                    <sup>3</sup>
                    Detection: Multi-Frame Multi-Level Feature Fusion for Multi-Modal 3-D Object Detection With Camera and 4-D Imaging Radar
[IEEE] 2026-5-29 | Twining Stems Inspired Soft Actuators with High Aspect Ratio: Design, Characterization, and Application
[IEEE] 2026-5-29 | Structural-Semantic Topological Graph Matching and Map Alignment in Challenging Indoor Scenes
[IEEE] 2026-5-29 | Point-Cloud-Assistant Localized Statistical Channel Prediction by Tangent Gaussian Splatting
[IEEE] 2026-5-29 | Retracting Scientific Papers and Acknowledging Criminal Justice Failures
[ACM] 2026-5-30 | MoCoRo: Towards A Modular Robotics Platform for Automated Cocktail Creation
[ACM] 2026-5-30 | Detecting Intent in XR for Nonspeaking Autistic Typers
[ACM] 2026-5-30 | Cyber Resilience in IoT Networks Revisited: Frameworks, Mechanisms, and Future Directions
[ACM] 2026-5-29 | It is All About the Experience... My Highlights of QoMEX 2025 in Madrid
[ACM] 2026-5-29 | Enabling Efficient Vector Processing: A Heterogeneous Vector Architecture with in-SRAM Computing
[ACM] 2026-5-29 | A Greener Edge: A Framework on Carbon-aware Edge ML System Design
[ACM] 2026-5-29 | VLMCache: Efficient On-Device Vision-Language Model Inference
[ACM] 2026-5-29 | Ringmaster: How to juggle high-throughput host OS system calls from TrustZone TEEs
[ACM] 2026-5-29 | Learning Where to Look: Spatial Prior Acquisition in Autism Spectrum Disorder
[ACM] 2026-5-29 | MicroDuet: Dual Microscope Eye Tracking and Joint Visual Attention in Microsurgical Training
[ACM] 2026-5-29 | Evaluating Eye-Tracking Challenges in Gaze-Controlled Musical Applications for Users with Motor Disabilities
[ACM] 2026-5-29 | Exploratory Integration of EEG Spectral Features and Gaze Variability for Mild Cognitive Impairment Discrimination
[ACM] 2026-5-29 | Hypernetwork-driven Weight Adaptation for Personalized PSOG Eye-Trackers
[IEEE] 2026-5-29 | CoDrive-MLF: Empirical Validation of Cooperative Driving via a Multi-Layer V2V Evaluation Framework
[IEEE] 2026-5-29 | GCP: Guarded Collaborative Perception with Spatial-Temporal Aware Malicious Agent Detection_supp1-3693684.pdf
