[2026-04-13 22:43:18] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-12
正在获取论文...
[ACM] 2026-4-13 | Investigating the Effects of LLM Use on Critical Thinking Under Time Constraints: Access Timing and Time Availability
[ACM] 2026-4-13 | Mirror of the Dividual: A Public-Space Multimodal Interactive System for Making Understanding Perceivable
[ACM] 2026-4-13 | The Three Praxes Framework - A Thematic Review and Map of Social Accessibility Research
[ACM] 2026-4-13 | An Expert Schema for Evaluating Large Language Model Errors in Scholarly Question-Answering Systems
[ACM] 2026-4-13 | "Chat, Should I Leave Him?" Risks, Rewards, and Roles for AI in Relationship Advice
[ACM] 2026-4-13 | “I Wanted Them to Think That I Wrote That”: AI-Generated Self-Presentation on Dating Apps and Implications of Non-Disclosure on Informed Consent
[ACM] 2026-4-13 | Accounting for (Dis)advantages in Capability Sensitive Design for Marginalized Communities
[ACM] 2026-4-13 | LL.me: Supporting Identity Work through Human-AI Alignment
[ACM] 2026-4-13 | Breaking News or Breaking Trust? Exploring Challenges and a Design Space for Trustworthy LLM Integration in Journalism
[ACM] 2026-4-13 | AmIWrite: Exploring Scalable One-on-One Handwriting-Based Tutoring for Mathematical Problem-Solving with an LLM-Powered AI Tutor
[ACM] 2026-4-13 | AI Agents and the Future of Deliberation: Designing Human–AI Collaboration for Democratic Dialogue
[ACM] 2026-4-13 | Session Summary Podcast: Session 118: Human-Robot Interaction &amp; Embodied Sensing
[ACM] 2026-4-13 | Session Summary Podcast: Session 221: Trust and Perception in AI Systems
[ACM] 2026-4-13 | Out of Emergency: How Doctors Navigate Jurisdictional Seams in Emergency Care Referrals
[ACM] 2026-4-13 | Session Summary Podcast: Session 131: LLM Interactions and Generative AI Mechanics
[ACM] 2026-4-13 | AI-generated AR Reassembly Guidance from Disassembly Videos to Scaffold Everyday Repair
[ACM] 2026-4-13 | Session Summary Podcast: Session 39: Child-Computer Interaction
[ACM] 2026-4-13 | BiasViz: A Project-Based, Narrative-Centered Learning Tool for Engaging Middle School Students in Critical Thinking about AI Biases
[ACM] 2026-4-13 | VisiPrint: Previewing 3D-Print Appearance from Real Material Samples
[ACM] 2026-4-13 | From Touch to Change: Understanding Public Engagement in Data Physicalization for Social Good
[ACM] 2026-4-13 | Session Summary Podcast: Session 178: Reading and Writing Accessibility
[ACM] 2026-4-13 | Session Summary Podcast: Session 210: Tangible Interfaces for Electronics, PCBs, and Physical Computing
[ACM] 2026-4-13 | Same Patient, Same Space, Divergent Needs: Revealing Gaps and Design Opportunities in Surgeon–Anesthesiologist Collaboration
[ACM] 2026-4-13 | Session Summary Podcast: Session 143: Mental Wellbeing
[ACM] 2026-4-13 | Session Summary Podcast: Session 11: AI Tutors and Learning Support Systems
[ACM] 2026-4-13 | Sensemaking in User-Driven Algorithm Auditing: A Case Study on Gender Bias in an Image Captioning Model
[ACM] 2026-4-13 | Designing Cognitive Mini-Games for Computational Thinking and Executive Functions (Work in Progress)
[ACM] 2026-4-13 | "Google Maps can say a lot of things, but it cannot guide us properly": Exploring Technology Inaccessibility for People with Visual Impairments in Bangladesh
[ACM] 2026-4-13 | Qualitative Coding Analysis through Open-Source Large Language Models: A User Study and Design Recommendations
