[2026-06-21 23:13:33] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-20
正在获取论文...
[ACM] 2026-6-20 | PhD Forum Abstract: A Causal Lens Toward Occupant-Centric Buildings
[ACM] 2026-6-20 | Hierarchical Battery Anomaly Detection in Uninterruptible Power Supply Systems via Contrastive Learning
[ACM] 2026-6-20 | Parental Judgment as a Design Lens for AI Scaffolding in Early Childhood Reading
[ACM] 2026-6-20 | Emergent Technology, Emergent Critique: Students and Teachers Developing Critical AI Literacy Through Participatory Design Around Generative AI
[ACM] 2026-6-20 | A Closed-Loop Hybrid Stochastic-Robust Framework for Health-Aware PV–BESS Sizing
[ACM] 2026-6-20 | Projecting the Consequences of Climate Change on the Operation of European Data Centers
[ACM] 2026-6-20 | Rethinking Machine Learning Performance Metrics in Distributed Energy Resource Systems: A Concise Review
[ACM] 2026-6-20 | The Everything Tool Problem: A Scoping Review of Empirical Research with Young People and Generative AI
[ACM] 2026-6-20 | Growing Up with AI: Approaches to Community-centered AI Literacy
[ACM] 2026-6-20 | “Are You OK, Dr. Scratch?” Bridging the Gap Between Automated Computational Thinking Metrics and Classroom Realities
[ACM] 2026-6-20 | Research of Residential Occupant Behavior Establishment for Building Energy Simulation
[ACM] 2026-6-20 | PIRS: Physics-Informed Reward Shaping for SAC-Based Building Energy Management
[ACM] 2026-6-20 | Inter-Data-Center Workload Migration for Grid-Interactive Balancing Services: A Field Demonstration
[ACM] 2026-6-20 | Designing for broken-hammer-pedagogy
[ACM] 2026-6-20 | Orbiting the VirtueVerse: A Game for Practicing and Reflecting on AI Ethics
[ACM] 2026-6-20 | Poster Abstract: Can LLMs Replace In-domain Training Data? Cold-Start Thermal Comfort Prediction Across Unseen Building Contexts
[ACM] 2026-6-20 | Lightweight Acoustic-Based Unsupervised Monitoring of Daily Routines
[ACM] 2026-6-20 | Practitioner Insights on Fairness Requirements in the AI Development Life Cycle: An Interview Study
[ACM] 2026-6-20 | Designing Workbook Probes for Families: A Smart Home Case Study of Intergenerational Co-Speculation
[ACM] 2026-6-20 | Pufff: a touch-sensitive interactive toy for purposeful hand use in children with Rett Syndrome
[ACM] 2026-6-20 | Investigating Hands-on AI Literacy Activities for Empowering Youth with Technological Agency for the Future of Work
[ACM] 2026-6-20 | A Preschooler-Friendly Picture Book Recommender System with Robotic Guidance Based on Illustration Style and Theme Preferences
[ACM] 2026-6-20 | Resisting "Cheesy" AI: Hybrid and Situated Critical AI Literacy With Youth-Envisioned Futures
[ACM] 2026-6-20 | BrickBond: Investigating a LEGO®-Based Therapy Inspired Interactive Game for Social Interaction and Turn-Taking Skills in Children with ASD
[ACM] 2026-6-20 | SynthCharge: Synthetic Data Generator for Electric Vehicle Charging Sessions
[ACM] 2026-6-20 | MILP-Based Integrated Control of Residential DERs Aggregation
[ACM] 2026-6-20 | End-to-End Decision-Focused Model Predictive Control for Energy-Efficient HVAC Systems
[ACM] 2026-6-20 | deZent: Decentralized z-Anonymity with Privacy-Preserving Coordination
[ACM] 2026-6-20 | PrivAB: Efficient Privacy-preserving Aggregation and Billing Protocol for Smart Energy Systems
[ACM] 2026-6-20 | Poster Abstract:Analysis of Energy Self-Sufficiency Ratio in a Residential Community Applying Building-Integrated Photovoltaic Systems
[ACM] 2026-6-20 | Extreme Heat and Human Mobility: A Diffusion Model Approach to Climate-Adaptive Urban Dynamics
[ACM] 2026-6-20 | Behavior Modeling and Analysis in Energy Systems
[ACM] 2026-6-20 | EMsecBERT: A Fine-tuned BERT-based Model for Automated Cybersecurity Threat Analysis of Electric Mobility
[ACM] 2026-6-20 | Day-Ahead Wholesale Electricity Market Games with Pre-Market Dynamic Line Rating Forecast Signals
