[2026-05-28 23:16:49] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-27
正在获取论文...
[arXiv] 2026-05-27 | Cavity-Induced Suppression of Entanglement and Enhancement of Quantum Discord
[arXiv] 2026-05-27 | Show, Don't TELL: Explainable AI-Generated Text Detection
[arXiv] 2026-05-27 | An Operator-Based Approach to STL
[arXiv] 2026-05-27 | Hall effect in multi-leg bosonic ladders
[arXiv] 2026-05-27 | VLA-Hijack: A Transferable Patch Attack against Vision-Language-Action Models via Visual Proprioception Hijacking
[arXiv] 2026-05-27 | Fermi-LAT View on Three Ultra-high-energy 1LHAASO Sources in the $52^{\circ}<l<55^{\circ}$ Region
[arXiv] 2026-05-27 | MACReD: A Multi-Agent Collaborative Reasoning Framework for Reaction Diagram Parsing
[arXiv] 2026-05-27 | The conditional-mean barrier: From deterministic regression to conditional distribution learning
[arXiv] 2026-05-27 | PINE: Pruning Boosted Tree Ensembles with Conformal In-Distribution Prediction Equivalence
[arXiv] 2026-05-27 | Unified Synthesis of Compositional Speech and Sound from Free-Form Text Prompts
[arXiv] 2026-05-27 | Detection of a large-scale organized 2 kG order magnetic field in the Herbig Ae star HD179218
[arXiv] 2026-05-27 | Convergence analysis of a parareal algorithm with multistep fine propagator
[arXiv] 2026-05-27 | CogPortrait: Fine-Grained Eye-Region Control in Portrait Animation via Hierarchical Agent Planning
[arXiv] 2026-05-27 | Automated Unitary Coupled Cluster Circuit Design via Differentiable Quantum Architecture Search
[arXiv] 2026-05-27 | Surjectivity of certain word maps on SU(2) and SL(2,C)
[arXiv] 2026-05-27 | Stay Fair! Ensuring Group Fairness in Diffusion Models Across Guidance Scales
[arXiv] 2026-05-27 | MTAVG-Bench 2.0: Diagnosing Failure Modes of Cinematic Expressiveness in Multi-Talker Audio-Video Generation
[arXiv] 2026-05-27 | Clark Hash: Stateless Sparse Johnson-Lindenstrauss Quantization for Neural Embeddings
[arXiv] 2026-05-27 | Information Acquisition with $α$-Divergence Costs
[arXiv] 2026-05-27 | Dual-branch Distilled Transformer for Efficient Asymmetric UAV Tracking
[arXiv] 2026-05-27 | Enhancing Ultra-low-field MRI with Segmentation-guided Adversarial Learning
[arXiv] 2026-05-27 | ROSD: Reflective On-Policy Self-Distillation for Language Model Reasoning across Domains
[arXiv] 2026-05-27 | KSAFE-MM: A Multimodal Safety Benchmark via Localized Contextualization for Korean Cultural Risks
[arXiv] 2026-05-27 | Existence and Uniqueness of Irregular Vectors of Integer and Half-Integer Ranks for the Virasoro Algebra
[arXiv] 2026-05-27 | Tool Forge: A Validation-Carrying Toolchain for Governed Agentic Execution
[arXiv] 2026-05-27 | Learning to Assign Prediction Tasks to Agents with Capacity Constraints
[arXiv] 2026-05-27 | Where Does Toxicity Live? Mechanistic Localization and Targeted Suppression in Language Models
[arXiv] 2026-05-27 | Reward Bias Substitution: Single-Axis Bias Mitigations Redirect Optimization Pressure
[arXiv] 2026-05-27 | Rethinking Visual Neglect: Steering via Context-Preference for MLLM Hallucination Mitigation
[arXiv] 2026-05-27 | Bridging the Generalization Gap in Adverse Weather Segmentation: A Training Recipe Perspective
[arXiv] 2026-05-27 | Skill-as-Pseudocode: Refactoring Skill Libraries to Pseudocode for LLM Agents
[arXiv] 2026-05-27 | Cyclical Entropy Eruption: Entropy Dynamics in Agent Reinforcement Learning
[arXiv] 2026-05-27 | Con-DSO: Learning Short-Horizon Consistency Priors for RGB-D Direct Sparse Odometry
[arXiv] 2026-05-27 | Is Backpropagation Optimal? When Synthetic Gradients Improve Sample Efficiency
[arXiv] 2026-05-27 | Stochastic Volatility, Jumps, and Rates: A Unified Framework for Option Pricing and Term-Structure Simulation
[arXiv] 2026-05-27 | When Think-with-Image Meets Safety: What Determines Multimodal Jailbreak Robustness?
[arXiv] 2026-05-27 | Harness-Bench: Measuring Harness Effects across Models in Realistic Agent Workflows
[arXiv] 2026-05-27 | Frequency-Guided Action Diffusion via Sub-Frequency Manifold Traversal
[arXiv] 2026-05-27 | Addressing Variable Heterogeneity in Distributed Multimodal Training with Entrain
[arXiv] 2026-05-27 | OphIn-500K: Curating Web-Scale Visual Instructions for Scaling Ophthalmic Multimodal Large Language Models
[arXiv] 2026-05-27 | Let the Results Speak: A Replication-First Paradigm for LLM Behavioral Benchmarking
[arXiv] 2026-05-27 | Where LLM Annotators Fail: Label-Free Learning on Graphs with LLMs
[arXiv] 2026-05-27 | SuiChat-CN: Benchmarking Contextual Suicide Risk Assessment in Chinese Group Chats
[arXiv] 2026-05-27 | SKILLC: Learning Autonomous Skill Internalization in LLM Agents via Contrastive Credit Assignment
[arXiv] 2026-05-27 | A Unified Framework for the Evaluation of LLM Agentic Capabilities
[arXiv] 2026-05-27 | FedEHR-Gen: Federated Synthetic Time-Series EHR Generation via Latent Space Alignment and Distribution-Aware Aggregation
[arXiv] 2026-05-27 | Mid-Infrared Single-Photon Compressive Spectroscopy
[arXiv] 2026-05-27 | VibeSearchBench: Benchmarking Long-horizon Proactive Search in the Wild
[arXiv] 2026-05-27 | Retrieval, Reward, and Training Protocols: What Matters in Training Search Agents?
[arXiv] 2026-05-27 | Syllabic-Structure Decoder for Automatic Speech Recognition in Vietnamese
[arXiv] 2026-05-27 | Octahedral decomposition of alternating links in thickened surfaces
[arXiv] 2026-05-27 | Liquid-fueled Oblique Detonation Stabilized by a Transverse Jet
[arXiv] 2026-05-27 | Comparing explodability predictions from a parameter-optimized semi-analytic model with structure-based progenitor criteria
[arXiv] 2026-05-27 | FundaPod: A Multi-Persona Agent Pod Platform with Knowledge Graph Memory for AI-Assisted Fundamental Investment Research
[arXiv] 2026-05-27 | Mid-infrared edge-enhanced imaging via angle-selective nonlinear filtering
[arXiv] 2026-05-27 | TCP-MCP: Landscape-Guided Co-Evolution of Prompts and Communication Topologies for Multi-Agent Systems
[arXiv] 2026-05-27 | Regime-Based Portfolio Allocation Using Hidden Markov Models and Reinforcement Learning
[arXiv] 2026-05-27 | A Parameterization-Invariant DIC
